student_id,course_id,instructor_id,evaluation_text,sentiment_label,satisfaction_score,engagement_score,timestamp,platform_access_count,assignment_score,final_grade
S0038,CSE103,I1002,The lectures were engaging and well-explained.,Positive,2,9,2024-04-08 14:22:43,32,93,57
S0039,CSE101,I1001,"Too many assignments, not enough guidance.",Negative,4,2,2025-05-30 03:41:58,47,84,68
S0040,CSE103,I1001,"Too many assignments, not enough guidance.",Negative,1,1,2023-09-05 17:07:37,19,53,92
S0041,CSE103,I1003,Course was too fast-paced.,Neutral,10,8,2024-08-20 01:41:24,20,79,99
S0042,CSE101,I1002,Instructor was responsive and helpful.,Positive,4,5,2023-10-12 14:15:08,16,99,90
S0043,CSE101,I1002,Lacked practical examples.,Negative,10,2,2025-04-21 00:11:13,13,73,97
S0044,CSE102,I1003,The lectures were engaging and well-explained.,Positive,3,5,2024-03-15 00:30:56,16,96,78
S0045,CSE103,I1001,Content was difficult to follow sometimes.,Neutral,4,8,2025-07-10 16:42:25,5,62,63
S0046,CSE102,I1001,"Too many assignments, not enough guidance.",Negative,1,6,2024-02-23 00:07:10,33,76,71
S0047,CSE102,I1001,The lectures were engaging and well-explained.,Positive,10,4,2024-04-04 18:13:27,9,99,93
S0048,CSE101,I1001,Instructor was responsive and helpful.,Positive,9,10,2024-06-28 18:30:12,23,53,58
S0049,CSE101,I1001,Great use of resources and timely feedback.,Positive,8,4,2025-04-16 02:58:44,13,76,60
S0050,CSE101,I1002,Lacked practical examples.,Negative,6,3,2024-02-08 11:03:48,41,58,73
S0051,CSE101,I1001,Interactive sessions made learning enjoyable.,Positive,2,3,2024-10-10 02:22:34,11,67,83
S0052,CSE103,I1002,Great use of resources and timely feedback.,Positive,7,1,2025-06-08 16:06:50,32,84,95
S0053,CSE103,I1001,Course was too fast-paced.,Neutral,6,9,2024-01-02 07:53:28,44,74,75
S0054,CSE103,I1001,The course material was outdated.,Negative,7,10,2024-10-09 17:14:51,19,84,64
S0055,CSE103,I1003,Great use of resources and timely feedback.,Positive,9,4,2025-02-20 16:38:47,48,74,85
S0056,CSE103,I1002,The course material was outdated.,Negative,9,9,2023-09-04 17:30:23,25,91,97
S0057,CSE101,I1002,Instructor was responsive and helpful.,Positive,2,7,2024-05-01 23:51:25,15,75,51
S0058,CSE103,I1002,"Too many assignments, not enough guidance.",Negative,2,8,2025-03-06 19:30:00,28,86,90
S0059,CSE101,I1002,I appreciated the extra help sessions.,Positive,3,3,2023-11-09 19:08:56,18,64,98
S0060,CSE103,I1001,Course was too fast-paced.,Neutral,7,4,2023-10-27 19:55:39,37,98,67
S0061,CSE101,I1002,Interactive sessions made learning enjoyable.,Positive,8,1,2024-01-16 21:35:37,37,77,53
S0062,CSE101,I1002,Instructor was responsive and helpful.,Positive,7,10,2024-11-26 14:21:17,24,52,73
S0063,CSE103,I1001,"Too many assignments, not enough guidance.",Negative,3,1,2023-08-19 06:04:58,43,76,74
S0064,CSE103,I1002,Lacked practical examples.,Negative,10,1,2024-06-14 10:58:08,47,61,87
S0065,CSE101,I1001,Great use of resources and timely feedback.,Positive,4,6,2023-09-08 17:28:32,11,54,59
S0066,CSE102,I1001,The lectures were engaging and well-explained.,Positive,4,7,2023-11-14 09:51:19,29,53,89
S0067,CSE101,I1001,Content was difficult to follow sometimes.,Neutral,9,4,2023-10-10 11:36:18,46,91,96
S0068,CSE101,I1003,Instructor was responsive and helpful.,Positive,3,8,2023-11-21 00:08:23,46,84,63
S0069,CSE103,I1003,Course was too fast-paced.,Neutral,8,2,2025-01-11 15:11:57,46,94,78
S0070,CSE103,I1002,The course material was outdated.,Negative,9,6,2025-01-01 05:36:10,27,95,93
S0071,CSE101,I1002,The lectures were engaging and well-explained.,Positive,9,3,2024-07-23 16:58:50,40,95,82
S0072,CSE101,I1001,The course material was outdated.,Negative,1,1,2024-04-08 12:31:47,49,99,79
S0073,CSE101,I1001,The course material was outdated.,Negative,9,9,2023-10-09 16:57:22,26,78,77
S0074,CSE101,I1001,I appreciated the extra help sessions.,Positive,10,3,2024-05-27 05:46:32,24,73,79
S0075,CSE102,I1001,"Too many assignments, not enough guidance.",Negative,7,9,2024-10-03 10:24:52,35,54,67
S0076,CSE103,I1002,The course material was outdated.,Negative,7,6,2024-11-25 13:09:42,26,81,92
S0077,CSE101,I1003,Lacked practical examples.,Negative,4,9,2024-07-19 11:40:35,16,66,53
S0078,CSE103,I1002,Instructor was responsive and helpful.,Positive,4,9,2024-02-19 14:57:26,7,76,99
S0079,CSE103,I1003,Instructor was responsive and helpful.,Positive,9,5,2024-10-29 12:59:33,17,55,56
S0080,CSE101,I1003,The course material was outdated.,Negative,2,3,2025-07-16 06:41:17,40,50,90
S0081,CSE102,I1003,Content was difficult to follow sometimes.,Neutral,8,10,2024-12-19 19:05:43,26,50,61
S0082,CSE103,I1002,Course was too fast-paced.,Neutral,4,3,2023-12-13 04:42:58,28,88,70
S0083,CSE103,I1002,Lacked practical examples.,Negative,8,2,2024-02-05 18:10:11,8,88,81
S0084,CSE103,I1001,Content was difficult to follow sometimes.,Neutral,8,10,2025-03-29 15:00:19,15,79,76
S0085,CSE103,I1003,Content was difficult to follow sometimes.,Neutral,5,5,2024-05-02 16:14:38,31,66,77
S0086,CSE102,I1002,"Too many assignments, not enough guidance.",Negative,4,3,2024-08-16 10:55:55,12,84,99
S0087,CSE101,I1001,The course material was outdated.,Negative,10,10,2023-11-04 05:27:38,40,84,62
S0088,CSE103,I1003,I appreciated the extra help sessions.,Positive,9,1,2025-02-15 22:30:46,6,50,61
S0089,CSE101,I1002,"Too many assignments, not enough guidance.",Negative,8,1,2023-08-27 13:52:38,21,82,53
S0090,CSE102,I1001,Course was too fast-paced.,Neutral,9,3,2023-11-02 03:01:47,14,60,82
S0091,CSE101,I1003,The lectures were engaging and well-explained.,Positive,1,5,2023-11-24 20:00:47,33,58,57
S0092,CSE103,I1001,I appreciated the extra help sessions.,Positive,1,7,2024-09-11 00:48:40,8,82,72
S0093,CSE102,I1001,The course material was outdated.,Negative,6,6,2025-03-01 03:09:26,36,55,69
S0094,CSE103,I1001,The lectures were engaging and well-explained.,Positive,2,3,2023-09-21 20:42:15,21,59,54
S0095,CSE102,I1001,Interactive sessions made learning enjoyable.,Positive,1,9,2025-02-10 01:32:57,27,99,99
S0096,CSE101,I1002,Lacked practical examples.,Negative,9,3,2025-07-07 14:03:05,49,60,76
S0097,CSE101,I1002,"Too many assignments, not enough guidance.",Negative,8,9,2023-09-09 08:50:07,26,83,78
S0098,CSE103,I1003,Course was too fast-paced.,Neutral,9,9,2025-05-17 06:50:55,10,53,98
S0099,CSE101,I1003,The lectures were engaging and well-explained.,Positive,2,7,2023-10-01 20:19:13,11,65,84
S0100,CSE103,I1002,Instructor was responsive and helpful.,Positive,7,3,2025-02-01 06:29:57,39,53,95
S0101,CSE103,I1003,The course material was outdated.,Negative,10,7,2023-12-04 00:02:58,15,83,91
S0102,CSE102,I1001,Interactive sessions made learning enjoyable.,Positive,10,5,2024-07-20 08:13:56,46,87,52
S0103,CSE103,I1003,Course was too fast-paced.,Neutral,8,4,2023-12-14 08:48:02,29,97,92
S0104,CSE101,I1001,Interactive sessions made learning enjoyable.,Positive,7,7,2024-07-25 21:42:31,44,95,69
S0105,CSE102,I1001,Lacked practical examples.,Negative,7,10,2023-09-09 08:43:19,28,90,59
S0106,CSE102,I1001,Course was too fast-paced.,Neutral,2,8,2024-03-30 23:04:38,14,55,99
S0107,CSE103,I1003,I appreciated the extra help sessions.,Positive,8,7,2025-05-07 21:33:58,13,65,69
S0108,CSE102,I1001,Instructor was responsive and helpful.,Positive,10,3,2023-12-09 02:58:16,14,60,57
S0109,CSE102,I1001,Lacked practical examples.,Negative,3,4,2025-06-29 08:34:26,6,59,72
S0110,CSE101,I1003,Interactive sessions made learning enjoyable.,Positive,7,3,2024-06-18 09:27:58,18,54,81
S0111,CSE101,I1002,Great use of resources and timely feedback.,Positive,1,10,2025-02-24 14:43:47,23,72,69
S0112,CSE102,I1003,The lectures were engaging and well-explained.,Positive,8,9,2024-08-12 04:03:30,24,78,99
S0113,CSE103,I1002,I appreciated the extra help sessions.,Positive,3,1,2024-10-06 16:10:20,47,97,85
S0114,CSE103,I1002,The course material was outdated.,Negative,6,5,2024-08-14 11:22:40,38,67,69
S0115,CSE101,I1001,Course was too fast-paced.,Neutral,2,3,2024-03-02 11:57:05,18,92,55
S0116,CSE102,I1003,The lectures were engaging and well-explained.,Positive,9,7,2023-10-06 18:52:21,26,99,67
S0117,CSE102,I1003,"Too many assignments, not enough guidance.",Negative,3,7,2025-04-15 11:59:53,39,87,64
S0118,CSE101,I1001,Great use of resources and timely feedback.,Positive,8,5,2024-01-20 11:39:03,39,65,91
S0119,CSE101,I1002,Lacked practical examples.,Negative,3,8,2024-01-02 04:17:14,22,96,84
S0120,CSE103,I1002,Content was difficult to follow sometimes.,Neutral,7,2,2024-04-24 01:59:52,24,80,63
S0121,CSE103,I1001,Content was difficult to follow sometimes.,Neutral,2,4,2024-02-17 04:43:37,18,98,64
S0122,CSE103,I1003,"Too many assignments, not enough guidance.",Negative,10,4,2025-06-15 19:48:59,41,97,62
S0123,CSE101,I1002,"Too many assignments, not enough guidance.",Negative,5,5,2025-02-19 18:50:33,21,80,82
S0124,CSE102,I1002,Great use of resources and timely feedback.,Positive,1,2,2023-10-25 20:21:57,30,95,59
S0125,CSE101,I1003,Lacked practical examples.,Negative,10,1,2025-06-14 13:43:41,34,77,68
S0126,CSE103,I1002,Course was too fast-paced.,Neutral,3,6,2024-01-04 04:18:40,33,59,70
S0127,CSE103,I1001,Great use of resources and timely feedback.,Positive,6,1,2023-12-27 09:54:51,33,89,92
S0128,CSE102,I1001,Great use of resources and timely feedback.,Positive,4,7,2025-03-04 12:09:10,36,98,61
S0129,CSE101,I1002,The course material was outdated.,Negative,6,2,2025-04-02 05:22:03,44,87,70
S0130,CSE101,I1002,Content was difficult to follow sometimes.,Neutral,8,10,2025-02-22 06:25:34,45,53,87
S0131,CSE102,I1003,Instructor was responsive and helpful.,Positive,6,1,2024-07-18 04:14:22,38,67,81
S0132,CSE101,I1001,Interactive sessions made learning enjoyable.,Positive,1,9,2024-08-14 01:17:11,29,88,97
S0133,CSE103,I1002,I appreciated the extra help sessions.,Positive,6,7,2024-11-24 05:54:17,30,96,77
S0134,CSE103,I1003,Great use of resources and timely feedback.,Positive,6,8,2025-06-01 10:33:49,48,58,73
S0135,CSE101,I1003,Course was too fast-paced.,Neutral,1,7,2024-08-16 20:21:15,14,90,76
S0136,CSE103,I1003,Lacked practical examples.,Negative,4,5,2024-05-20 23:27:59,14,86,80
S0137,CSE103,I1001,Lacked practical examples.,Negative,6,8,2025-03-02 05:16:44,29,68,98
S0138,CSE101,I1003,"Too many assignments, not enough guidance.",Negative,7,1,2024-05-12 05:08:34,29,62,75
S0139,CSE102,I1001,Great use of resources and timely feedback.,Positive,2,9,2023-09-07 18:58:18,30,72,67
S0140,CSE101,I1003,Interactive sessions made learning enjoyable.,Positive,5,1,2023-09-25 06:07:28,34,98,85
S0141,CSE103,I1003,The lectures were engaging and well-explained.,Positive,5,6,2023-09-07 07:29:11,30,54,60
S0142,CSE103,I1003,Interactive sessions made learning enjoyable.,Positive,3,5,2024-05-01 09:52:58,44,68,84
S0143,CSE103,I1002,Course was too fast-paced.,Neutral,4,7,2024-07-12 06:55:19,22,69,89
S0144,CSE102,I1003,Content was difficult to follow sometimes.,Neutral,6,1,2024-10-16 02:59:32,35,66,75
S0145,CSE103,I1001,"Too many assignments, not enough guidance.",Negative,3,3,2024-04-27 00:42:28,21,91,58
S0146,CSE102,I1002,Interactive sessions made learning enjoyable.,Positive,1,7,2024-09-28 22:52:32,36,53,62
S0147,CSE101,I1002,Interactive sessions made learning enjoyable.,Positive,8,3,2025-02-08 08:05:06,5,97,68
S0148,CSE101,I1002,Content was difficult to follow sometimes.,Neutral,3,8,2024-05-31 13:40:33,21,61,62
S0149,CSE103,I1001,Instructor was responsive and helpful.,Positive,2,10,2025-01-07 04:14:43,6,55,54
S0150,CSE101,I1001,Instructor was responsive and helpful.,Positive,2,2,2024-09-20 03:27:50,20,81,88
S0151,CSE102,I1001,The lectures were engaging and well-explained.,Positive,3,3,2025-05-17 19:33:01,5,68,94
S0152,CSE101,I1002,The course material was outdated.,Negative,8,1,2024-03-17 01:31:46,17,68,63
S0153,CSE102,I1001,"Too many assignments, not enough guidance.",Negative,10,5,2025-05-11 04:59:02,17,60,90
S0154,CSE101,I1003,Lacked practical examples.,Negative,4,10,2025-04-30 15:54:41,39,73,98
S0155,CSE103,I1002,Great use of resources and timely feedback.,Positive,9,9,2023-08-05 23:02:19,14,93,57
S0156,CSE103,I1001,The course material was outdated.,Negative,9,9,2023-10-13 01:11:59,46,83,83
S0157,CSE103,I1001,Content was difficult to follow sometimes.,Neutral,4,7,2024-07-14 00:40:47,12,91,98
S0158,CSE101,I1002,The course material was outdated.,Negative,6,6,2023-10-25 16:54:23,43,97,78
S0159,CSE103,I1002,Interactive sessions made learning enjoyable.,Positive,6,10,2024-12-28 06:11:54,32,56,95
S0160,CSE102,I1003,Instructor was responsive and helpful.,Positive,4,10,2024-09-16 05:21:31,12,96,65
S0161,CSE102,I1001,Great use of resources and timely feedback.,Positive,1,8,2023-10-11 11:16:06,32,69,74
S0162,CSE101,I1003,Great use of resources and timely feedback.,Positive,5,1,2025-05-26 08:05:45,8,57,99
S0163,CSE102,I1003,"Too many assignments, not enough guidance.",Negative,4,10,2025-02-16 02:55:11,19,58,89
S0164,CSE101,I1002,Content was difficult to follow sometimes.,Neutral,2,6,2025-02-22 09:42:46,21,52,79
S0165,CSE102,I1001,The course material was outdated.,Negative,7,10,2025-01-19 13:36:43,7,84,80
S0166,CSE102,I1001,Interactive sessions made learning enjoyable.,Positive,4,8,2023-08-12 15:32:22,30,65,66
S0167,CSE103,I1002,Content was difficult to follow sometimes.,Neutral,1,4,2025-01-15 09:33:59,41,91,89
S0168,CSE102,I1002,Content was difficult to follow sometimes.,Neutral,5,5,2023-11-02 10:29:47,36,71,68
S0169,CSE101,I1003,Instructor was responsive and helpful.,Positive,3,4,2025-05-05 05:19:15,8,60,96
S0170,CSE103,I1002,Course was too fast-paced.,Neutral,4,1,2024-06-21 09:00:43,43,66,74
S0171,CSE102,I1001,Great use of resources and timely feedback.,Positive,10,6,2024-06-24 07:04:39,29,97,96
S0172,CSE102,I1001,Lacked practical examples.,Negative,10,6,2024-09-05 10:34:36,32,57,99
S0173,CSE101,I1002,Great use of resources and timely feedback.,Positive,6,8,2023-12-04 04:36:48,14,55,59
S0174,CSE101,I1003,The course material was outdated.,Negative,8,9,2024-11-19 02:25:17,26,69,59
S0175,CSE101,I1001,Content was difficult to follow sometimes.,Neutral,3,10,2025-03-18 08:43:50,13,60,99
S0176,CSE103,I1003,I appreciated the extra help sessions.,Positive,3,6,2025-01-08 03:41:14,6,61,84
S0177,CSE103,I1003,Course was too fast-paced.,Neutral,2,9,2024-12-02 05:21:47,38,56,78
S0178,CSE103,I1002,Course was too fast-paced.,Neutral,3,1,2024-04-18 09:50:42,10,80,53
S0179,CSE103,I1001,"Too many assignments, not enough guidance.",Negative,6,5,2025-05-29 21:25:49,31,82,96
S0180,CSE103,I1001,Interactive sessions made learning enjoyable.,Positive,3,9,2024-03-18 03:30:23,16,86,76
S0181,CSE102,I1002,"Too many assignments, not enough guidance.",Negative,9,6,2023-12-24 08:39:57,37,64,51
S0182,CSE101,I1003,The course material was outdated.,Negative,8,3,2024-02-27 04:31:55,7,95,79
S0183,CSE102,I1001,The lectures were engaging and well-explained.,Positive,3,3,2023-10-06 19:22:19,25,59,82
S0184,CSE103,I1001,"Too many assignments, not enough guidance.",Negative,5,3,2025-05-28 11:29:38,16,77,94
S0185,CSE103,I1002,The lectures were engaging and well-explained.,Positive,5,10,2024-10-26 13:16:56,36,64,85
S0186,CSE102,I1001,Interactive sessions made learning enjoyable.,Positive,10,6,2025-07-25 16:44:16,34,54,96
S0187,CSE103,I1001,Great use of resources and timely feedback.,Positive,2,10,2025-04-16 16:38:51,12,67,71
S0188,CSE102,I1001,Course was too fast-paced.,Neutral,7,5,2024-10-10 20:03:28,19,94,89
S0189,CSE101,I1003,Content was difficult to follow sometimes.,Neutral,2,4,2024-12-21 08:12:19,16,64,94
S0190,CSE103,I1003,Course was too fast-paced.,Neutral,7,2,2025-01-24 04:00:49,41,70,63
S0191,CSE101,I1002,Content was difficult to follow sometimes.,Neutral,7,6,2023-10-13 09:00:26,18,76,88
S0192,CSE102,I1003,I appreciated the extra help sessions.,Positive,4,2,2024-10-20 02:06:59,34,60,56
S0193,CSE101,I1002,I appreciated the extra help sessions.,Positive,3,8,2024-02-04 02:43:39,29,67,92
S0194,CSE103,I1001,Great use of resources and timely feedback.,Positive,6,2,2025-03-12 15:26:34,7,63,91
S0195,CSE102,I1001,Lacked practical examples.,Negative,1,3,2025-05-20 20:16:43,42,59,57
S0196,CSE101,I1003,Course was too fast-paced.,Neutral,2,4,2024-12-02 18:55:07,39,64,79
S0197,CSE101,I1002,I appreciated the extra help sessions.,Positive,9,3,2023-08-05 05:19:21,21,76,57
S0198,CSE103,I1003,Course was too fast-paced.,Neutral,1,9,2025-01-12 15:22:53,14,86,89
S0199,CSE101,I1003,I appreciated the extra help sessions.,Positive,9,3,2025-04-27 01:43:54,47,85,81
S0200,CSE102,I1002,Course was too fast-paced.,Neutral,5,7,2024-11-07 10:07:13,49,90,62
S0201,CSE101,I1001,Course was too fast-paced.,Neutral,10,9,2023-09-15 01:55:19,32,87,53
S0202,CSE103,I1003,The lectures were engaging and well-explained.,Positive,8,2,2024-09-16 03:10:07,43,55,78
S0203,CSE101,I1003,Content was difficult to follow sometimes.,Neutral,4,1,2023-12-09 12:50:04,11,73,88
S0204,CSE101,I1002,The course material was outdated.,Negative,10,4,2023-08-31 19:18:55,11,75,59
S0205,CSE102,I1002,Great use of resources and timely feedback.,Positive,1,4,2024-01-19 01:38:44,37,52,62
S0206,CSE101,I1001,Content was difficult to follow sometimes.,Neutral,2,9,2025-02-19 07:11:41,30,63,64
S0207,CSE103,I1003,I appreciated the extra help sessions.,Positive,4,10,2023-09-28 23:47:27,11,95,66
S0208,CSE102,I1003,Interactive sessions made learning enjoyable.,Positive,9,2,2024-01-03 13:52:13,8,67,69
S0209,CSE103,I1001,Instructor was responsive and helpful.,Positive,8,9,2025-07-18 08:33:32,45,64,85
S0210,CSE103,I1002,Content was difficult to follow sometimes.,Neutral,10,10,2025-04-11 11:24:28,34,83,71
S0211,CSE101,I1002,"Too many assignments, not enough guidance.",Negative,1,7,2024-02-28 22:00:21,46,70,65
S0212,CSE102,I1002,The lectures were engaging and well-explained.,Positive,5,5,2024-10-15 07:16:23,9,91,77
S0213,CSE101,I1003,Course was too fast-paced.,Neutral,3,7,2025-06-22 07:25:23,42,75,55
S0214,CSE101,I1003,Great use of resources and timely feedback.,Positive,4,7,2024-02-25 18:52:15,15,83,57
S0215,CSE102,I1003,Great use of resources and timely feedback.,Positive,3,10,2024-02-07 06:14:36,16,92,64
S0216,CSE101,I1003,Lacked practical examples.,Negative,4,5,2023-12-15 14:00:51,10,59,63
S0217,CSE101,I1002,The course material was outdated.,Negative,10,4,2023-12-30 01:01:39,33,75,87
S0218,CSE101,I1001,Course was too fast-paced.,Neutral,7,3,2024-01-02 01:13:02,6,55,62
S0219,CSE102,I1001,Course was too fast-paced.,Neutral,3,2,2024-06-14 10:43:50,29,70,90
S0220,CSE102,I1003,The lectures were engaging and well-explained.,Positive,1,1,2023-08-20 08:48:56,39,80,65
S0221,CSE101,I1002,The course material was outdated.,Negative,5,8,2024-08-03 13:04:00,27,78,67
S0222,CSE102,I1001,Interactive sessions made learning enjoyable.,Positive,3,8,2025-01-18 03:16:19,14,69,58
S0223,CSE101,I1003,The course material was outdated.,Negative,10,3,2024-03-22 08:32:23,49,96,52
S0224,CSE101,I1003,Interactive sessions made learning enjoyable.,Positive,7,8,2024-08-30 11:28:51,7,75,96
S0225,CSE101,I1001,"Too many assignments, not enough guidance.",Negative,10,3,2025-07-20 09:49:34,11,85,80
S0226,CSE101,I1001,Instructor was responsive and helpful.,Positive,8,2,2024-04-11 16:57:44,31,86,62
S0227,CSE102,I1003,I appreciated the extra help sessions.,Positive,9,8,2025-02-27 21:41:01,34,82,69
S0228,CSE103,I1003,Course was too fast-paced.,Neutral,2,10,2024-10-13 01:01:42,41,61,85
S0229,CSE101,I1001,The course material was outdated.,Negative,5,9,2025-02-05 12:25:53,46,55,94
S0230,CSE103,I1003,The course material was outdated.,Negative,7,2,2025-02-27 22:53:27,17,52,88
S0231,CSE101,I1003,Lacked practical examples.,Negative,1,8,2023-09-04 14:03:36,38,58,98
S0232,CSE103,I1003,The course material was outdated.,Negative,5,1,2025-04-07 02:44:00,41,81,56
S0233,CSE101,I1002,The lectures were engaging and well-explained.,Positive,10,9,2024-10-04 09:22:47,43,87,95
S0234,CSE101,I1002,Course was too fast-paced.,Neutral,7,9,2024-10-13 05:05:48,44,98,91
S0235,CSE101,I1002,"Too many assignments, not enough guidance.",Negative,3,10,2024-04-27 15:35:16,13,86,97
S0236,CSE102,I1001,Content was difficult to follow sometimes.,Neutral,6,6,2024-01-20 18:25:14,25,87,64
S0237,CSE103,I1003,"Too many assignments, not enough guidance.",Negative,9,5,2025-04-25 10:50:47,19,64,64
S0238,CSE103,I1003,The course material was outdated.,Negative,2,4,2023-11-15 09:39:39,46,90,80
S0239,CSE103,I1001,Interactive sessions made learning enjoyable.,Positive,2,4,2023-12-18 10:59:11,45,55,80
S0240,CSE101,I1003,The lectures were engaging and well-explained.,Positive,7,8,2025-01-08 19:58:31,37,79,80
S0241,CSE103,I1001,Course was too fast-paced.,Neutral,1,10,2023-10-29 10:23:56,11,62,89
S0242,CSE101,I1003,The course material was outdated.,Negative,7,5,2024-02-12 11:20:41,34,53,71
S0243,CSE101,I1002,I appreciated the extra help sessions.,Positive,10,4,2024-03-25 15:43:53,30,86,73
S0244,CSE101,I1001,Lacked practical examples.,Negative,7,4,2024-04-06 01:39:30,41,94,93
S0245,CSE103,I1002,The lectures were engaging and well-explained.,Positive,3,4,2024-05-15 19:49:56,17,97,74
S0246,CSE103,I1003,Course was too fast-paced.,Neutral,9,7,2024-08-25 09:55:49,30,97,71
S0247,CSE103,I1003,I appreciated the extra help sessions.,Positive,1,10,2024-02-18 02:07:33,20,59,54
S0248,CSE101,I1003,The lectures were engaging and well-explained.,Positive,7,6,2025-07-15 15:11:39,49,70,65
S0249,CSE101,I1001,"Too many assignments, not enough guidance.",Negative,9,2,2023-10-16 07:52:32,9,74,96
S0250,CSE103,I1002,Great use of resources and timely feedback.,Positive,9,2,2025-03-17 11:06:55,17,53,57
S0251,CSE101,I1002,Interactive sessions made learning enjoyable.,Positive,9,8,2024-03-05 07:21:12,41,59,71
S0252,CSE102,I1003,I appreciated the extra help sessions.,Positive,6,10,2024-08-02 22:04:38,46,65,74
S0253,CSE102,I1001,I appreciated the extra help sessions.,Positive,9,8,2025-06-15 00:40:43,24,97,97
S0254,CSE103,I1002,Content was difficult to follow sometimes.,Neutral,4,2,2025-07-14 08:05:35,48,87,96
S0255,CSE103,I1001,Course was too fast-paced.,Neutral,5,1,2025-05-25 15:46:48,6,95,82
S0256,CSE102,I1001,Great use of resources and timely feedback.,Positive,10,2,2024-01-02 13:29:28,12,84,73
S0257,CSE103,I1001,The lectures were engaging and well-explained.,Positive,9,8,2024-11-07 03:10:10,10,77,64
S0258,CSE101,I1003,The lectures were engaging and well-explained.,Positive,9,8,2023-11-16 12:02:18,18,71,67
